DATE,AQI VALUE,AQ DESCRIPTION,SITE ID,SITE NAME,ANALYTE
20000101,16,GOOD,60251003,EL CENTRO,PM10
20000107,38,GOOD,60251003,EL CENTRO,PM10
20000113,68,MODERATE,60251003,EL CENTRO,PM10
20000119,30,GOOD,60251003,EL CENTRO,PM10
20000125,39,GOOD,60251003,EL CENTRO,PM10
20000131,27,GOOD,60251003,EL CENTRO,PM10
20000206,31,GOOD,60251003,EL CENTRO,PM10
20000212,53,MODERATE,60251003,EL CENTRO,PM10
20000218,27,GOOD,60251003,EL CENTRO,PM10
20000224,10,GOOD,60251003,EL CENTRO,PM10
20000301,28,GOOD,60251003,EL CENTRO,PM10
20000313,35,GOOD,60251003,EL CENTRO,PM10
20000319,45,GOOD,60251003,EL CENTRO,PM10
20000325,50,GOOD,60251003,EL CENTRO,PM10
20000331,25,GOOD,60251003,EL CENTRO,PM10
20000406,21,GOOD,60251003,EL CENTRO,PM10
20000412,34,GOOD,60251003,EL CENTRO,PM10
20000418,18,GOOD,60251003,EL CENTRO,PM10
20000424,36,GOOD,60251003,EL CENTRO,PM10
20000430,27,GOOD,60251003,EL CENTRO,PM10
20000506,47,GOOD,60251003,EL CENTRO,PM10
20000512,28,GOOD,60251003,EL CENTRO,PM10
20000518,34,GOOD,60251003,EL CENTRO,PM10
20000524,61,MODERATE,60251003,EL CENTRO,PM10
20000530,45,GOOD,60251003,EL CENTRO,PM10
20000605,27,GOOD,60251003,EL CENTRO,PM10
20000611,37,GOOD,60251003,EL CENTRO,PM10
20000617,54,MODERATE,60251003,EL CENTRO,PM10
20000623,113,UNHEALTHY FOR SENSITIVE,60251003,EL CENTRO,PM10
20000629,38,GOOD,60251003,EL CENTRO,PM10
20000705,32,GOOD,60251003,EL CENTRO,PM10
20000711,53,MODERATE,60251003,EL CENTRO,PM10
20000717,23,GOOD,60251003,EL CENTRO,PM10
20000723,33,GOOD,60251003,EL CENTRO,PM10
20000729,86,MODERATE,60251003,EL CENTRO,PM10
20000804,46,GOOD,60251003,EL CENTRO,PM10
20000810,36,GOOD,60251003,EL CENTRO,PM10
20000816,42,GOOD,60251003,EL CENTRO,PM10
20000822,90,MODERATE,60251003,EL CENTRO,PM10
20000830,34,GOOD,60251003,EL CENTRO,PM10
20000903,19,GOOD,60251003,EL CENTRO,PM10
20000909,34,GOOD,60251003,EL CENTRO,PM10
20000915,54,MODERATE,60251003,EL CENTRO,PM10
20000921,54,MODERATE,60251003,EL CENTRO,PM10
20000927,62,MODERATE,60251003,EL CENTRO,PM10
20001003,53,MODERATE,60251003,EL CENTRO,PM10
20001009,62,MODERATE,60251003,EL CENTRO,PM10
20001015,28,GOOD,60251003,EL CENTRO,PM10
20001021,50,GOOD,60251003,EL CENTRO,PM10
20001027,10,GOOD,60251003,EL CENTRO,PM10
20001102,25,GOOD,60251003,EL CENTRO,PM10
20001114,29,GOOD,60251003,EL CENTRO,PM10
20001130,68,MODERATE,60251003,EL CENTRO,PM10
20001202,26,GOOD,60251003,EL CENTRO,PM10
20001208,28,GOOD,60251003,EL CENTRO,PM10
20001214,54,MODERATE,60251003,EL CENTRO,PM10
20001220,48,GOOD,60251003,EL CENTRO,PM10
20001226,26,GOOD,60251003,EL CENTRO,PM10
20010101,55,MODERATE,60251003,EL CENTRO,PM10
20010107,56,MODERATE,60251003,EL CENTRO,PM10
20010113,29,GOOD,60251003,EL CENTRO,PM10
20010119,29,GOOD,60251003,EL CENTRO,PM10
